id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_usd,price_brl,host_tipo,desempenho_recente,min_preco,max_preco,score
1197286494129219605,"Amplio y elegante Mono en Las Cañitas, Palermo",114534844,Nacho,Palermo,-34.56789688614318,-58.43320191155144,Entire home/apt,30456.0,2,20,2024-12-21,3.11,1,338,20,35.83,179.15,Individual,20.0,-6.298323113564848,144.8866854829028,-0.023357806312690466
1073251184291870213,Entre parques,223895101,Alejandra,Palermo,-34.5783976,-58.41214660000001,Entire home/apt,40643.0,2,55,2025-01-26,4.47,2,258,54,47.82,239.08,Individual,27.0,-6.298323113564848,144.8866854829028,-0.024012311510410667
932562284945008464,Monoambiente boulevard Cerviño,22692794,Mercedes,Palermo,-34.5783633359986,-58.41394125396729,Entire home/apt,26255.0,6,28,2025-01-21,1.5,1,103,17,30.89,154.44,Individual,17.0,-6.298323113564848,144.8866854829028,-0.024031515659201974
39468549,Stylish Studio Flat with pool - English/Español -,303172893,María José,Palermo,-34.58964,-58.41811,Entire home/apt,33460.0,3,114,2024-12-15,1.77,1,365,22,39.36,196.82,Individual,22.0,-6.298323113564848,144.8866854829028,-0.024045940494945656
954098131122882392,"119 - Apartment in Palermo, Cabrera St.",169179941,Fernando,Palermo,-34.59237,-58.42876,Entire home/apt,43637.0,1,44,2024-11-30,2.6,1,0,29,51.34,256.69,Individual,29.0,-6.298323113564848,144.8866854829028,-0.024652391872387158
1105251876064191241,Hippie chic apartment in Palermo,466470373,Adrian Ruben,Palermo,-34.5758308630121,-58.43218642067931,Entire home/apt,22055.0,5,28,2025-01-23,2.86,2,41,28,25.95,129.74,Individual,14.0,-6.298323113564848,144.8866854829028,-0.024705225005713455
663806918998676780,Palermo Spacious Studio Apartment,300561056,Michelle,Palermo,-34.5825562,-58.4231096,Entire home/apt,33607.0,2,25,2025-01-05,1.74,1,269,22,39.54,197.69,Individual,22.0,-6.298323113564848,144.8866854829028,-0.024910909259962477
44306754,COZY Apartment in Palermo,93669751,Melisa,Palermo,-34.57018,-58.43392,Entire home/apt,40811.0,1,61,2025-01-03,1.12,1,149,27,48.01,240.06,Individual,27.0,-6.298323113564848,144.8866854829028,-0.024925334095706186
1019092017336596341,Departamento Penthouse para grupos grandes,438001530,Diego Fernando,Palermo,-34.580865944309295,-58.42315055429936,Entire home/apt,84017.0,1,66,2025-01-11,4.42,1,78,57,98.84,494.22,Individual,57.0,-6.298323113564848,144.8866854829028,-0.02505993693044717
32660563,Studio de 35 mts en Palermo Cañitas,156510638,Diego,Palermo,-34.566864013671875,-58.43334197998047,Entire home/apt,24302.0,3,185,2025-01-08,2.6,2,44,31,28.59,142.95,Individual,15.5,-6.298323113564848,144.8866854829028,-0.025185285277195824
820078946328602932,Industrial Loft in Palermo Soho!,44128372,Lucas Martin,Palermo,-34.59023,-58.4324,Entire home/apt,31507.0,1,87,2024-12-22,3.63,2,273,41,37.07,185.34,Individual,20.5,-6.298323113564848,144.8866854829028,-0.02524776393321823
841279249244474958,Departamento Palermo Terraza y Gimnasio privados.,482507798,Matias,Palermo,-34.5939956,-58.4277434,Entire home/apt,30908.0,30,65,2025-01-04,2.82,1,296,20,36.36,181.81,Individual,20.0,-6.298323113564848,144.8866854829028,-0.02590465878746223
770073876561244939,Depto Diego - Close to everything you need!,794195,Diego,Palermo,-34.5760998,-58.4321946,Entire home/apt,25163.0,1,156,2025-01-19,5.97,4,126,64,29.6,148.02,Profissional,16.0,-6.298323113564848,144.8866854829028,-0.025970005031313192
952173831174230218,Departamento entero c/servicios,530280148,Monica,Palermo,-34.567172879963124,-58.440863767563535,Entire home/apt,36758.0,1,28,2025-01-16,1.61,1,286,24,43.24,216.22,Individual,24.0,-6.298323113564848,144.8866854829028,-0.02641595838695579
990765430119949462,Amplio Departamento Palermo Hollywood con Piscina,492827741,Diego,Palermo,-34.5790130617666,-58.43510127581598,Entire home/apt,36758.0,10,35,2025-01-15,2.2,1,139,24,43.24,216.22,Individual,24.0,-6.298323113564848,144.8866854829028,-0.02641595838695579
1112548286206306472,Moz Haus 2,56660620,Juan Pablo,Palermo,-34.58010770381499,-58.42768971728528,Entire home/apt,45453.0,1,60,2025-01-26,5.66,2,37,60,53.47,267.37,Individual,30.0,-6.298323113564848,144.8866854829028,-0.026750423403687745
6989067,Palermo Soho in Condo full amenities 1 bdr aptmt,19053018,Alejandro,Palermo,-34.58019864538438,-58.42666775859709,Entire home/apt,52658.0,2,250,2025-01-26,2.17,1,107,35,61.95,309.75,Individual,35.0,-6.298323113564848,144.8866854829028,-0.026812902059710153
36767287,Palermo Cañitas Hermoso ático con terraza.,102953493,Coni,Palermo,-34.57354635946308,-58.43219896738309,Entire home/apt,21004.0,2,172,2025-01-22,2.56,2,174,26,24.71,123.55,Individual,13.0,-6.298323113564848,144.8866854829028,-0.026883983479218262
32085070,Cute entire apartment @ Palermo Hollywood w/2pools,1943150,Florencia,Palermo,-34.57947,-58.44043,Entire home/apt,49812.0,2,178,2025-01-17,2.49,1,169,33,58.6,293.01,Individual,33.0,-6.298323113564848,144.8866854829028,-0.02698973664247173
919518326026321425,Departamento en Palermo,518426080,Agustin,Palermo,-34.5926596,-58.42951969999999,Entire home/apt,21739.0,1,52,2025-01-14,2.79,2,365,27,25.58,127.88,Individual,13.5,-6.298323113564848,144.8866854829028,-0.02699594974943366
23035112,Cozy Studio in the heart of Palermo Soho,122562696,Lilian,Palermo,-34.59189,-58.42259,Entire home/apt,25352.0,3,94,2024-11-26,1.12,1,333,16,29.83,149.13,Individual,16.0,-6.298323113564848,144.8866854829028,-0.02707524289772356
933281345439064187,Dpto Colegiales,305060198,Agustina,Colegiales,-34.571842774334534,-58.458944715344245,Entire home/apt,32557.0,3,41,2025-01-12,2.19,1,142,21,38.3,191.51,Individual,21.0,-25.39338022656716,170.99145541453709,-0.027089667733467243
16882483,Habitación indiv. c/ baño priv. en Palermo Soho,13099205,Claudia,Palermo,-34.591839,-58.433598,Private room,16803.0,2,79,2025-01-26,1.09,1,59,10,19.77,98.84,Individual,10.0,-6.298323113564848,144.8866854829028,-0.027557692825729743
31526883,"Tipico PH Palermoniano, refaccionado.",39401260,Pepe,Palermo,-34.57744,-58.43166,Entire home/apt,28356.0,1,142,2025-01-02,1.94,1,0,18,33.36,166.8,Individual,18.0,-6.298323113564848,144.8866854829028,-0.02776337707997875
